,Dates,Traveler,Member,Party,State / District,Destination,Sponsor,Filing Type
7,"Oct. 31, 2009 - Nov. 2, 2009",Dennis Kucinich,Dennis J. Kucinich,D,OH-10,"Pittsburgh, PA",Thomas Merton Center,Original
8,"Oct. 29, 2009 - Nov. 1, 2009",Joanna Swirszcz,Vic Snyder,D,AR-2,New York City,The Humpty Dumpty Institute,Original
9,"Oct. 29, 2009 - Nov. 1, 2009",Elizabeth Hittos,Gus Bilirakis,R,FL-9,NYC,Humpty Dumpty Institute,Original
10,"Oct. 29, 2009 - Nov. 1, 2009",Robert Bacon,"Ryan, Tim",,OH-0,"New York, NY",Humpty Dumpty Institute,Original
11,"Oct. 28, 2009 - Oct. 31, 2009",Thomas Barthold,"Rangel, Charles B.",,NY-0,"New Orleans, LA",Tulane University Law School,Original
12,"Oct. 29, 2009 - Oct. 31, 2009",Assad Akhter,"Pascrell, Bill",,NJ-0,"New York, NY-",Humpty Dumpty Institute,Original
13,"Oct. 29, 2009 - Oct. 31, 2009",Assad Akhter,"Pascrell, Bill",,NJ-0,"North Brunswick, NJ",Humpty Dumpty Institute,Original
14,"Oct. 29, 2009 - Oct. 31, 2009",Helen Hardin,Zach Wamp,R,TN-3,New York City,Humpty Dumpty Institute,Original
15,"Oct. 29, 2009 - Oct. 30, 2009",Ben Gielow,Vernon J. Ehlers,R,MI-3,New York City,The Humpty Dumpty Institute,Original
16,"Oct. 29, 2009 - Oct. 30, 2009",Jessica Rodgers,Jim McDermott,D,WA-7,NYC,The Humpty Dumpty Institute,Original
17,"Oct. 29, 2009 - Oct. 30, 2009",Tim Tarpley,Ted Poe,R,TX-2,New York,Humpty Dumpty Institute,Original
18,"Oct. 29, 2009 - Oct. 30, 2009",Allison Hollabaugh,Christopher H. Smith,R,NJ-4,"New York, NY",Humpty Dumpty Institute,Original
19,"Oct. 29, 2009 - Oct. 30, 2009",Paul Berkowitz,"Rohrabacher, Dana",,CA-0,NYC,Humpty Dumpty Institute,Original
20,"Oct. 29, 2009 - Oct. 30, 2009",Jacki Pick,"Franks, Trent",,AZ-0,NYC,Humpty Dumpty Institute,Original
21,"Oct. 29, 2009 - Oct. 30, 2009",Marissa Doran,Howard L. Berman,D,CA-28,New York,Humpty Dumpty Institute,Original
22,"Oct. 29, 2009 - Oct. 30, 2009",Norman Brand,"Rangel, Charles B.",,NY-0,New Orleans,Tulane Tax Institute,Original
23,"Oct. 29, 2009 - Oct. 30, 2009",Jennifer Shapiro,Emanuel Cleaver II,D,MO-5,"New York, NY",Humpty Dumpty Institute,Original
24,"Oct. 29, 2009 - Oct. 30, 2009",Melody Reis,"Lofgren, Zoe",,CA-0,"New York, NY",Humpty Dumpty Institute,Original
25,"Oct. 29, 2009 - Oct. 30, 2009",Kate Fox,Mike McIntyre,D,NC-7,"New York, NY",Humpty Dumpty Institute,Original
26,"Oct. 28, 2009 - Oct. 29, 2009",Sonja Nesbit,"Rangel, Charles B.",,NY-0,"Boston, MA",Casey Family Services,Original
27,"Oct. 26, 2009 - Oct. 27, 2009",Betty McCollum,Betty McCollum,D,MN-4,"Hollywood, FL","United South and Eastern Tribes, Inc.",Original
28,"Oct. 25, 2009 - Oct. 26, 2009",David Heymsfeld,James L. Oberstar,D,MN-8,"Palm Springs, CA",AASHTO,Original
29,"Oct. 23, 2009 - Oct. 25, 2009",Aaron Schmidt,"Pelosi, Nancy",,CA-0,"Williamsburg, VA",Thirdway,Original
30,"Oct. 23, 2009 - Oct. 25, 2009",John Metcalf,James E. Clyburn,D,SC-6,"Williamsburg, VA",Third Way,Original
31,"Oct. 23, 2009 - Oct. 25, 2009",Leslie Pollner,Suzanne M. Kosmas,D,FL-24,"Williamsburg, VA",Third Way,Original
32,"Oct. 23, 2009 - Oct. 25, 2009",John Yarmuth,John Yarmuth,D,KY-3,"Bedford, PA",Democratic Leadership Council,Original
33,"Oct. 23, 2009 - Oct. 25, 2009",Anne Cannon MacMillan,"Pelosi, Nancy",,CA-0,Williamsburg,Third Way,Original
34,"Oct. 23, 2009 - Oct. 25, 2009",Jed Bhuta,Heath Shuler,D,NC-11,"Williamsburg, VA",Third Way,Original
35,"Oct. 23, 2009 - Oct. 25, 2009",Aaron Davis,Christopher Carney,D,PA-10,"Williamsburg, VA",Third Way,Original
36,"Oct. 23, 2009 - Oct. 25, 2009",Lori Pepper,Bart Gordon,D,TN-6,"Williamsburg, VA",Third Way,Original
37,"Oct. 23, 2009 - Oct. 25, 2009",Erik Olson,Ron Kind,D,WI-3,"Williamsburg, VA",Third Way,Original
38,"Oct. 23, 2009 - Oct. 25, 2009",Corey Tellez,Debbie Halvorson,D,IL-11,"Williamsburg, VA",Third Way,Original
39,"Oct. 23, 2009 - Oct. 25, 2009",Michael Ryan,"Israel, Steve",,NY-0,Williamsburg,Third Way,Original
40,"Oct. 23, 2009 - Oct. 25, 2009",Christopher McCannell,Michael E. McMahon,D,NY-13,"Williamsburg, VA",Third Way,Original
41,"Oct. 23, 2009 - Oct. 25, 2009",Neeta Bidwai,"Matheson, Jim",,UT-0,"Williamsburg, VA",Third Way,Original
42,"Oct. 23, 2009 - Oct. 25, 2009",Dori Friedberg,Jason Altmire,D,PA-4,"Williamsburg, VA",Third Way,Original
43,"Oct. 23, 2009 - Oct. 25, 2009",Lee Slater,John B. Larson,D,CT-1,"Williamsburg, VA",Third Way,Original
44,"Oct. 23, 2009 - Oct. 25, 2009",Randy Ford,John Tanner,D,TN-8,"Bedford, PA",Democratic Leadership Council,Original
45,"Oct. 23, 2009 - Oct. 25, 2009",Katherine Winkler,"Crowley, Joseph",,NY-0,"Williamsburg, VA",Third Way,Original
46,"Oct. 23, 2009 - Oct. 25, 2009",Ryan Keating,"Ryan, Tim",,OH-0,"Williamsburg, VA",Third Way,Original
47,"Oct. 23, 2009 - Oct. 25, 2009",Jessica Lemos,Steny H. Hoyer,D,MD-5,Williamsburg,Third Way,Original
48,"Oct. 23, 2009 - Oct. 25, 2009",Mira Kogen,Ron Klein,D,FL-22,"Williamsburg, VA",Third Way,Original
49,"Oct. 23, 2009 - Oct. 25, 2009",Brian Romick,Steny H. Hoyer,D,MD-5,"Williamsburg, VA",Third Way,Original
0,"Oct. 23, 2009 - Oct. 25, 2009",Jeffrey Siegel,Michael E. McMahon,D,NY-13,"Williamsburg, VA",Third Way,Original
1,"Oct. 23, 2009 - Oct. 25, 2009",Jeffrey Siegel,Michael E. McMahon,D,NY-13,"Williamsburg, VA",Third Way,Original
2,"Oct. 23, 2009 - Oct. 25, 2009",David Weinreich,Bob Etheridge,D,NC-2,"Bedford Springs, PA",Democratic Leadership Council,Original
3,"Oct. 23, 2009 - Oct. 25, 2009",Lisa Austin,Brian Baird,D,WA-3,"Williamsburg, VA",Third Way,Original
4,"Oct. 23, 2009 - Oct. 25, 2009",Andrew Dohrmann,Brian Baird,D,WA-3,"Williamsburg, VA",Third Way,Original
5,"Oct. 23, 2009 - Oct. 25, 2009",Christopher DeBosier,Charlie Melancon,D,LA-3,"Williamsburg, VA",Third Way,Original
6,"Oct. 23, 2009 - Oct. 25, 2009",Erik Komendant,Baron P. Hill,D,IN-9,"Williamsburg, VA",Third Way,Original
7,"Oct. 23, 2009 - Oct. 25, 2009",Nathan Fenstermacher,Joe Donnelly,D,IN-2,"Williamsburg, VA",Third Way,Original
8,"Oct. 23, 2009 - Oct. 25, 2009",Paul Kidwell,Christopher S. Murphy,D,CT-5,"Bedford, PA",Democratic Leadership Council,Original
9,"Oct. 23, 2009 - Oct. 25, 2009",John Sherry,Allyson Y. Schwartz,D,PA-13,"Williamsburg, VA",Third Way,Original
10,"Oct. 23, 2009 - Oct. 24, 2009",Elizabeth Hart,Melissa Bean,D,IL-8,"Williamsburg, VA",Third Way,Original
11,"Oct. 23, 2009 - Oct. 24, 2009",John Grom,Melissa Bean,D,IL-8,"Williamsburg, VA",Third Way,Original
12,"Oct. 24, 2009 - Oct. 24, 2009",Joseph Crowley,"Crowley, Joseph",,NY-0,"Williamsburg, VA",Third Way,Original
13,"Oct. 23, 2009 - Oct. 24, 2009",Adam Pase,"Crowley, Joseph",,NY-0,"Kingsmill, VA",Third Way,Original
14,"Oct. 23, 2009 - Oct. 24, 2009",David Price,David E. Price,D,NC-4,"New Haven, CT",Yale University's MacMillan Center and Department of Political Science,Original
15,"Oct. 19, 2009 - Oct. 20, 2009",Brenda Connolly,Gary L. Ackerman,D,NY-5,"New York, NY",Weill Cornell Medical College,Original
16,"Oct. 18, 2009 - Oct. 20, 2009",David Lachman,"Conyers, John",,MI-0,Las Vegas,National Conference of Bankruptcy Judges,Original
17,"Oct. 18, 2009 - Oct. 20, 2009",Jensen-Lachman Susan,"Conyers, John",,MI-0,Las Vegas,Naitonal Conference of Bankrutcy Judges,Original
18,"Oct. 16, 2009 - Oct. 19, 2009",Carol Shea-Porter,Carol Shea-Porter,D,NH-1,Athens,"Hellenic American University, a New Hampshire non-profit private institution of higher education",Original
19,"Oct. 16, 2009 - Oct. 18, 2009",Amanda Spears,"Pascrell, Bill",,NJ-0,"Austin, TX",North American Brain Injury Society,Original
20,"Oct. 16, 2009 - Oct. 17, 2009",Alan Grayson,"Grayson, Alan",,FL-0,"Los Angeles, CA","Maher Live, Inc. (Real Time with Bill Maher)",Amendment
21,"Oct. 16, 2009 - Oct. 17, 2009",Todd Jurkowski,"Grayson, Alan",,FL-0,"Los Angeles, CA",Maher Live Inc (Real Time with Bill Maher),Amendment
22,"Oct. 16, 2009 - Oct. 17, 2009",Judy Chu,"Chu, Judy",D,CA-32,"Flushing, NY",Organization Of Chinese Americans - Long Island Chapter,Original
23,"Oct. 16, 2009 - Oct. 17, 2009",Judy Chu,"Chu, Judy",D,CA-32,"Flushing, NY",Organization of Chinese Americans - Long Island Chapter,Original
24,"Oct. 16, 2009 - Oct. 17, 2009",Alan Grayson,"Grayson, Alan",,FL-0,Los Angeles,"Maher Live, Inc. (Real Time with Bill Maher)",Original
25,"Oct. 16, 2009 - Oct. 17, 2009",Todd Jurkowski,"Grayson, Alan",,FL-0,"Los Angeles, CA",Maher Live Inc. ( Real Time with Bill Maher),Original
26,"Oct. 16, 2009 - Oct. 17, 2009",Michele Bachmann,Michele Bachmann,R,MN-6,"Hartford, CT","National Home Education Legal Defense, LLC",Original
27,"Oct. 10, 2009 - Oct. 17, 2009",Timothy Slattery,"Velazquez, Nydia M.",,NY-0,Beijing,China International Cooperation Association of SME's,Original
28,"Oct. 15, 2009 - Oct. 17, 2009",Keenan Keller,"Conyers, John",,MI-0,"Los Angeles, CA",University of Southern California,Original
29,"Oct. 15, 2009 - Oct. 17, 2009",David Dickey-Griffith,Earl Blumenauer,D,OR-3,Durham,Duke Democrats,Original
30,"Oct. 15, 2009 - Oct. 17, 2009",David Dickey-Griffith,Earl Blumenauer,D,OR-3,Raleigh-,Duke Democrats,Original
31,"Oct. 16, 2009 - Oct. 17, 2009",Russell Swindell,Bob Etheridge,D,NC-2,"Bedford, PA",The New Democratic Leadership Council,Original
32,"Oct. 16, 2009 - Oct. 17, 2009",Stacey Dansky,"Conyers, John",,MI-0,"New York, NY",Director Guild of America,Original
33,"Oct. 15, 2009 - Oct. 16, 2009",John Conyers,"Conyers, John",,MI-0,Philadelphia,Philadelphia Trial Lawyers Association,Original
34,"Oct. 15, 2009 - Oct. 16, 2009",Danny Davis,Danny K. Davis,D,IL-7,Los Angeles,"University of Southern California, School of Social Work",Original
35,"Oct. 15, 2009 - Oct. 15, 2009",Diana Oo,"Conyers, John",,MI-0,PHL,Philadelphia Trial Lawyers Association,Original
36,"Oct. 12, 2009 - Oct. 14, 2009",Emily Khoury,Edolphus Towns,D,NY-10,"Boston, MA",American Youth Policy Forum,Original
37,"Oct. 12, 2009 - Oct. 14, 2009",Edward Potosnak lll,"Honda, Michael M.",,CA-0,"Boston, MA",American Youth Policy Forum,Original
38,"Oct. 12, 2009 - Oct. 14, 2009",Anna Gonzalez,"Hastings, Alcee L.",,FL-0,"Boston, MA",American Youth Policy Forum,Original
39,"Oct. 12, 2009 - Oct. 13, 2009",Joe Baca,Joe Baca,D,CA-43,"Dallas, TX",SER Jobs for Progress National Inc.,Original
40,"Oct. 12, 2009 - Oct. 13, 2009",Kristin Amerling,"Waxman, Henry A.",,CA-0,"Durham, NC","Sanford School of Public Policy, Duke University",Original
41,"Oct. 13, 2009 - Oct. 13, 2009",David Shahoulian,"Conyers, John",,MI-0,"New York, NY",Practising Law Institute,Original
42,"Oct. 10, 2009 - Oct. 13, 2009",Cameron Arteron,Lloyd Doggett,D,TX-0,"La Selva Biological Station, S","Organization for Tropical Studies, The Gordon and Betty Moore Foundation, and the Lucille Packard Fo",Original
43,"Oct. 10, 2009 - Oct. 13, 2009",Casey Fromson,Anna G. Eshoo,D,CA-0,"La Selva, Costa Rica","Organization for Tropical Studies, the gordon and Betty Moore foundation, and the David and Lucile P",Original
44,"Oct. 11, 2009 - Oct. 13, 2009",Shelley Moore Capito,Shelley Moore Capito,R,WV-2,"Durham, NC",Duke University Career Center,Original
45,"Oct. 10, 2009 - Oct. 13, 2009",Katrina Lassiter,Brian Baird,D,WA-3,La Selva Biological Field Stat,"Organization for Tropical Studies (OTS),The Gordon and Betty Moore, David and Lucile Packard Foundat",Original
46,"Oct. 10, 2009 - Oct. 13, 2009",Katrina Lassiter,Brian Baird,D,WA-3,"San Jose, Costa Rica Airport -","Organization for Tropical Studies (OTS),The Gordon and Betty Moore, David and Lucile Packard Foundat",Original
47,"Oct. 12, 2009 - Oct. 13, 2009",Kristin Amerling,"Waxman, Henry A.",,CA-0,"Durham, NC","Sanford School of Public Policy, Duke University (research fund of Professor Kiesha Goss)",Amendment
48,"Oct. 11, 2009 - Oct. 12, 2009",Dennis Kucinich,Dennis J. Kucinich,D,OH-10,"New York, NY",The Global Security Institute,Original
49,"Oct. 9, 2009 - Oct. 11, 2009",Frank R. Wolf,Frank R. Wolf,R,VA-10,"London, England",Christian Solidarity Worldwide (CSW),Original
0,"Oct. 9, 2009 - Oct. 10, 2009",Maxine Waters,"Waters, Maxine",,CA-0,"Los Angeles, CA",New Jersey Black Issues Convention,Original
1,"Oct. 7, 2009 - Oct. 8, 2009",Marcy Kaptur,Marcy Kaptur,D,OH-9,NYC,Public Affairs Television,Original
2,"Oct. 6, 2009 - Oct. 6, 2009",John Michael Meenan,John L. Mica,R,FL-7,"New York, NY","Trade Press Media Group, Inc.",Original
3,"Oct. 5, 2009 - Oct. 6, 2009",Lorie Schmidt,"Waxman, Henry A.",,CA-0,New York City,"Columbia University Center for Energy, Marine Transportation and Public Policy",Original
4,"Oct. 5, 2009 - Oct. 6, 2009",Lori Schmidt,"Waxman, Henry A.",,CA-0,New York City,"Columbia University Center for Energy, Marine Transportation and Public Policy",Amendment
5,"Oct. 2, 2009 - Oct. 3, 2009",Marcy Kaptur,Marcy Kaptur,D,OH-9,"Los Angeles, CA","Maher Live, Inc.",Original
6,"Oct. 1, 2009 - Oct. 2, 2009",Paul Broun,Paul Broun,R,GA-10,"Athens, GA",American Association of Physicians and Surgeons,Original
7,"Oct. 1, 2009 - Oct. 2, 2009",John L. Buckley,"Rangel, Charles B.",,NY-0,"Chicago, IL",University of Notre Dame,Original
8,"Oct. 1, 2009 - Oct. 2, 2009",Paul C. Broun,Paul Broun,R,GA-10,"Nashville, TN",American Association of Physicians and Surgeons,Original
9,"Sept. 26, 2009 - Sept. 30, 2009",Edward Whitfield,Edward Whitfield,R,KY-1,"Istanbul, Turkey",The Calik Group,Original
10,"Sept. 27, 2009 - Sept. 28, 2009",James E. Clyburn,James E. Clyburn,D,SC-6,"Saginaw, MI",Saginaw Branch NAACP-Freedom Fund Committee,Original
11,"Sept. 26, 2009 - Sept. 27, 2009",Raul Grijalva,"Grijalva, Raúl M.",,AZ-0,San Francisco,Sierra Club,Original
12,"Sept. 26, 2009 - Sept. 27, 2009",Michele Bachmann,Michele Bachmann,R,MN-6,"Washington, DC",Concerned Women for America,Original
13,"Sept. 26, 2009 - Sept. 26, 2009",Michele Bachmann,Michele Bachmann,R,MN-6,"St. Louis, MO",Eagle Forum,Original
14,"Sept. 24, 2009 - Sept. 25, 2009",Kashi Way,"Rangel, Charles B.",,NY-0,"Chicago, IL",ABA Section of Taxation & the Trust and Estate Law Division of RPTE,Original
15,"Sept. 25, 2009 - Sept. 25, 2009",Kevin Levingston,"Rangel, Charles B.",,NY-0,"Chicago, IL",American Bar Association (Tax Section),Original
16,"Sept. 25, 2009 - Sept. 25, 2009",David Lenter,"Rangel, Charles B.",,NY-0,"Chicago, IL","American Bar Association, Section of Taxation",Original
17,"Sept. 24, 2009 - Sept. 25, 2009",Michael Hauswirth,"Rangel, Charles B.",,NY-0,"Chicago, IL",American Bar Association Section of Taxation,Original
18,"Sept. 18, 2009 - Sept. 22, 2009",Sam Farr,"Farr, Sam",,CA-0,"New York City, NY",Washington Office on Latin America and National Tour Association,Original
19,"Sept. 18, 2009 - Sept. 21, 2009",Stephanie Williamson,Howard L. Berman,D,CA-28,"Caracas, Venezuela",Center for Democracy in the Americas,Original
20,"Sept. 18, 2009 - Sept. 21, 2009",Eric Jacobstein,Howard L. Berman,D,CA-28,"Caracas, Venezuela",The Center for Democracy in the Americas,Original
21,"Sept. 18, 2009 - Sept. 20, 2009",Gregg Harper,Gregg Harper,R,MS-3,"Destin, FL",Mississippi Poultry Association,Original
22,"Sept. 18, 2009 - Sept. 20, 2009",Gregg Harper,Gregg Harper,R,MS-3,"Destin, FL",Mississippi Poultry Association,Original
23,"Sept. 15, 2009 - Sept. 16, 2009",John Sullivan,"Pelosi, Nancy",,CA-0,"Monterey, CA",Panetta Institute for Public Policy,Original
24,"Sept. 10, 2009 - Sept. 14, 2009",Meagan Linn,Dave Loebsack,D,IA-2,"Nashville, TN",Iowa National Guard Officers Association,Original
25,"Sept. 10, 2009 - Sept. 14, 2009",Meagan Linn,Dave Loebsack,D,IA-2,"Nashville, TN",Iowa National Guard Officers Association,Original
26,"Sept. 14, 2009 - Sept. 14, 2009",Earl Blumenauer,Earl Blumenauer,D,OR-3,"Seattle, WA",WateReuse Association,Original
27,"Sept. 11, 2009 - Sept. 13, 2009",John Shadegg,John Shadegg,R,AZ-3,"Newport Beach, CA",Guarantee Trust Life Insurance Company,Original
28,"Sept. 11, 2009 - Sept. 13, 2009",Gabrielle Giffords,Gabrielle Giffords,D,AZ-8,"Nashville, TN",National Guard Association of Arizona,Original
29,"Sept. 11, 2009 - Sept. 13, 2009",Dan Burton,Dan Burton,R,IN-5,"Indianapolis, IN",International Academy of Oral Medicine and Toxicology,Original
30,"Sept. 11, 2009 - Sept. 13, 2009",Dan Burton,Dan Burton,R,IN-5,"Las Vegas, NV",International Academy of Oral Medicine and Toxicology,Original
31,"Sept. 11, 2009 - Sept. 12, 2009",Anthony Weiner,Anthony Weiner,D,NY-9,"Los Angeles, CA","Maher Live, Inc (Real Time with Bill Maher)",Original
32,"Sept. 10, 2009 - Sept. 11, 2009",Dalis Adler,Howard L. Berman,D,CA-28,NYC,The Humpty Dumpty Institute,Original
33,"Sept. 10, 2009 - Sept. 11, 2009",Lars Hydle,Edolphus Towns,D,NY-10,NYC,The Humpty Dumpty Institute,Original
34,"Sept. 10, 2009 - Sept. 11, 2009",Jeremy Kadden,Shelley Berkley,D,NV-1,"New York, NY",Humpty Dumpty Institute,Original
35,"Sept. 10, 2009 - Sept. 11, 2009",Dave Grimaldi,James E. Clyburn,D,SC-6,NYC,Humpty Dumpty Institute,Original
36,"Sept. 10, 2009 - Sept. 11, 2009",Allison Hollabaugh,Christopher H. Smith,R,NJ-4,"New York, NY",Humpty Dumpty Institute,Original
37,"Sept. 10, 2009 - Sept. 11, 2009",Brian Forni,Howard L. Berman,D,CA-28,New York City,The Humpy Dumpty Institute,Original
38,"Sept. 10, 2009 - Sept. 11, 2009",Jason Steinbaum,Howard L. Berman,D,CA-28,New York City,The Humpty Dumpty Institute,Original
39,"Sept. 10, 2009 - Sept. 10, 2009",Sarah Farhadian,"Wasserman Schultz, Debbie",,FL-0,"Pikesville, MD",Hadassah of Greater Baltimore,Original
40,"Sept. 10, 2009 - Sept. 10, 2009",Debbie Wasserman Schultz,"Wasserman Schultz, Debbie",,FL-0,"Pikesville, MD",Hadassah of Greater Baltimore,Original
41,"Sept. 1, 2009 - Sept. 9, 2009",John C. Fleming,John Fleming,R,LA-4,"Tel Aviv, Israel",American Israel Education Foundation (AIEF,Original
42,"Sept. 4, 2009 - Sept. 7, 2009",Diane Watson,Diane Watson,D,CA-33,New Mexico,National Foundation For Women Legislations,Original
43,"Sept. 4, 2009 - Sept. 6, 2009",Helen Hardin,Zach Wamp,R,TN-3,"Royal Oaks, MD",Faith and Law; Fieldstead and Company,Original
44,"Sept. 4, 2009 - Sept. 6, 2009",Mark A. Busching,Robert B. Aderholt,R,AL-4,"Royal Oak, MD",Faith and Law - Fieldstead and Company.,Original
45,"Sept. 4, 2009 - Sept. 6, 2009",Nicole Hunt,Ted Poe,R,TX-2,"Royal Oak, MD",Faith and Law; Fieldstone and Company,Original
46,"Sept. 4, 2009 - Sept. 6, 2009",C. Linwood Bragan,Todd Akin,R,MO-2,"Royal Oak, MD",Faith and Law; Fieldstead and Company.,Original
47,"Sept. 5, 2009 - Sept. 6, 2009",Steve King,Steve King,R,IA-4,"Omaha, NE",Eagle Forum,Original
48,"Sept. 5, 2009 - Sept. 6, 2009",Steve King,Steve King,R,IA-4,"St. Louis, MO",Eagle Forum,Original
49,"Sept. 4, 2009 - Sept. 6, 2009",C. Linwood Bragan,Todd Akin,R,MO-2,"Royal Oak, MD",Faith and Law; Fieldstead and Company,Amendment
0,"Sept. 5, 2009 - Sept. 5, 2009",John Conyers,"Conyers, John",,MI-0,"Albany, NY","Rev. Dr. Edwards B. Smart, Pastor Israel, A.M.E. Church and Mr. Richard W. Harris, President of 100",Original
1,"Sept. 5, 2009 - Sept. 5, 2009",Joel Segal,"Conyers, John",,MI-0,"Albany, NY",Reverand Dr. Edwards,Original
2,"Sept. 4, 2009 - Sept. 5, 2009",John Lewis,John Lewis,D,GA-5,Tulsa,Cherokee Nation Tribal Government,Original
3,"Aug. 29, 2009 - Sept. 5, 2009",Alexandra Norris Veitch,"Pelosi, Nancy",,CA-0,"Kyoto, Japan",Woodrow Wilson International Center for Scholars and U.S. Asia Institute.,Original
4,"Aug. 29, 2009 - Sept. 5, 2009",Alexandra Norris Veitch,"Pelosi, Nancy",,CA-0,"Tokyo, Japan",Woodrow Wilson International Center for Scholars and U.S. Asia Institute.,Original
5,"Aug. 29, 2009 - Sept. 5, 2009",Brad Smith,David Dreier,R,CA-26,"Kyoto, Japan",Woodrow Wilson International Center for Scholars will sponsor the trip using funds from a grant from,Original
6,"Aug. 29, 2009 - Sept. 5, 2009",Brad Smith,David Dreier,R,CA-26,"Tokyo, Japan",Woodrow Wilson International Center for Scholars will sponsor the trip using funds from a grant from,Original
7,"Aug. 29, 2009 - Sept. 5, 2009",Gerard Waldron,"Markey, Edward J.",,MA-0,"Tokyo, Japan",US-Asia Institute and Woodrow Wilson Center,Original
8,"Aug. 29, 2009 - Sept. 5, 2009",Gerard Waldron,"Markey, Edward J.",,MA-0,"Tokyo, Japan",US-Asia Institute and Woodrow Wilson Center,Original
9,"Aug. 22, 2009 - Sept. 4, 2009",Cory Hicks,Edward Whitfield,R,KY-1,"Ankara, Turkey",Turkish Coalition of America,Original
10,"Aug. 22, 2009 - Sept. 4, 2009",Cory Hicks,Edward Whitfield,R,KY-1,"Istanbul, Turkey",Turkish Coalition of America,Original
11,"Aug. 22, 2009 - Sept. 4, 2009",Cory Hicks,Edward Whitfield,R,KY-1,"Patara, Turkey",Turkish Coalition of America,Original
12,"Aug. 29, 2009 - Sept. 4, 2009",Pedro R. Pierluisi,Pedro Pierluisi,D,PR,"Ankara, Turkey",The United States Association of Former Members of Congress (FMC) Congressional Study Group on Turke,Original
13,"Aug. 29, 2009 - Sept. 4, 2009",Pedro R. Pierluisi,Pedro Pierluisi,D,PR,"Istanbul, Turkey",The United States Association of Former Members of Congress (FMC) Congressional Study Group on Turke,Original
14,"Aug. 29, 2009 - Sept. 4, 2009",Frank Lucas,Frank D. Lucas,R,OK-3,Ankara-,The United States Association of Former Members of Congress,Original
15,"Aug. 29, 2009 - Sept. 4, 2009",Frank Lucas,Frank D. Lucas,R,OK-3,Instanbul,The United States Association of Former Members of Congress,Original
16,"Aug. 29, 2009 - Sept. 4, 2009",Doug Lamborn,Doug Lamborn,R,CO-5,"Ankara, Turkey","U.S. Association of Former Members of Congress, Congressional Study Group, German Marshall Fund and",Original
17,"Aug. 29, 2009 - Sept. 4, 2009",Doug Lamborn,Doug Lamborn,R,CO-5,"Istanbul, Turkey","U.S. Association of Former Members of Congress, Congressional Study Group, German Marshall Fund and",Original
18,"Aug. 29, 2009 - Sept. 3, 2009",John Shadegg,John Shadegg,R,AZ-3,Ankara-,"The US Assoc of Former of Congress Congressional Study Group on Turkey, with contributions from The",Original
19,"Aug. 29, 2009 - Sept. 3, 2009",John Shadegg,John Shadegg,R,AZ-3,Istanbul-,"The US Assoc of Former of Congress Congressional Study Group on Turkey, with contributions from The",Original
20,"Aug. 29, 2009 - Sept. 3, 2009",John Shadegg,John Shadegg,R,AZ-3,Turkey,"The US Assoc of Former of Congress Congressional Study Group on Turkey, with contributions from The",Original
21,"Aug. 29, 2009 - Sept. 3, 2009",John Shadegg,John Shadegg,R,AZ-3,Turkey-,"The US Assoc of Former of Congress Congressional Study Group on Turkey, with contributions from The",Original
22,"Aug. 29, 2009 - Sept. 2, 2009",Joel Beauvais,"Markey, Edward J.",,MA-0,LA Selva Biological Field Stat,"The Gordon and Betty Moore Foundation, The David and Lucille Packard Foundation, Organization for Tr",Original
23,"Aug. 29, 2009 - Sept. 2, 2009",Joel Beauvais,"Markey, Edward J.",,MA-0,"San Jose, CA","The Gordon and Betty Moore Foundation, The David and Lucille Packard Foundation, Organization for Tr",Original
24,"Aug. 30, 2009 - Sept. 2, 2009",Alexander Barron,"Waxman, Henry A.",,CA-0,"San Jose, Costa Rica Airport","Organization for Tropical Studies, The Gordon and Betty Moore Foundation, and The David and Lucille",Original
25,"Sept. 1, 2009 - Sept. 1, 2009",Mathew Weidinger,Dave Camp,R,MI-4,"Chicago, IL",The American Public Human Services Association (APHSA),Original
26,"Aug. 31, 2009 - Sept. 1, 2009",Nadine Berg,"Serrano, Jose",,NY-0,New York City,Wildlife Conservation Society,Original
27,"Aug. 22, 2009 - Aug. 30, 2009",Eric Bergren,Brett Guthrie,R,KY-2,"Ankara, Turkey",Turkish Coalition of America,Original
28,"Aug. 22, 2009 - Aug. 30, 2009",Eric Bergren,Brett Guthrie,R,KY-2,"Istanbul, Turkey",Turkish Coalition of America,Original
29,"Aug. 22, 2009 - Aug. 30, 2009",Eric Bergren,Brett Guthrie,R,KY-2,"Patara, Turkey",Turkish Coalition of America,Original
30,"Aug. 22, 2009 - Aug. 30, 2009",Aaron Groen,Virginia Foxx,R,NC-5,"Ankara, Turkey",Turkish Coalition of America,Original
31,"Aug. 22, 2009 - Aug. 30, 2009",Aaron Groen,Virginia Foxx,R,NC-5,"Istanbul, Turkey",Turkish Coalition of America,Original
32,"Aug. 22, 2009 - Aug. 30, 2009",Aaron Groen,Virginia Foxx,R,NC-5,"Patara, Turkey",Turkish Coalition of America,Original
33,"Aug. 19, 2009 - Aug. 30, 2009",Aidan Maile Mercer,David E. Price,D,NC-4,"Pinehurst, NC","NC Agribusiness Council, NC Dept. of Agriculture, NC A&T University",Original
34,"Aug. 19, 2009 - Aug. 30, 2009",Aidan Maile Mercer,David E. Price,D,NC-4,"Raleigh, NC","NC Agribusiness Council, NC Dept. of Agriculture, NC A&T University",Original
